,Product Name,Sale Price,Market Price,Discount Offered,Product Rating,No_of_rating,No_of_review,Product Specs,Category,Product Company
2975,GARNET FILTERLESS 60 Wall Mounted Black 800 CMH Chimney,3499,8999,61,4.1,19,2,"[""Suction Capacity: 800 CMH"", ""Size: 60 cm"", ""5 Years warranty on motor.1 year warranty on switch, blower and LED light. To avail warranty please register your product's warranty online by scanning the QR Code mentioned on the box. Please note the warranty will not be considered if not registered online.""]",Chimney,RUWA
2976,HOOD IRIS BLDC FL HC BK IN 90 Auto Clean Wall Mounted BLACK 1500 CMH Chimney,21790,33990,35,4.1,1134,164,"[""Suction Capacity: 1500 CMH"", ""Size: 90 cm"", ""12 Yrs Warranty on Motor, 2 Yrs Comprehensive warranty on Product""]",Chimney,FABER
2977,SS60 NET Black Auto Clean Wall Mounted Black 1400 CMH Chimney,9449,29999,68,3.9,0,0,"[""Suction Capacity: 1400 CMH"", ""Size: 60 cm"", ""5 Years for Complete motor and 1 Year for Kitchen Chimney""]",Chimney,SURYA
2978,HOOD CREST PLUS HC SC BK 90 Auto Clean with Powerful Suction Capacity Wall Mounted BK GLASS 1200...,16990,31990,46,1.0,0,0,"[""Suction Capacity: 1200 CMH"", ""Size: 90 cm"", ""1 Year Comprehensive Warranty & 5 year warranty on Motor""]",Chimney,FABER
2979,Platina 75 Motion Sensor Auto Clean Wall Mounted Black 1550 CMH Chimney,11591,28490,59,1.0,0,0,"[""Suction Capacity: 1550 CMH"", ""Size: 75 cm"", ""1 Year Comprehensive Warranty On Product and 5 Year Warranty on Motor""]",Chimney,Uplift
2980,EMERALD-NEO-60-FL-HAC Auto Clean Wall Mounted Black 1400 CMH Chimney,11499,33990,66,4.0,0,0,"[""Suction Capacity: 1400 CMH"", ""Size: 60 cm"", ""2 Year Comprehensive + 10 Years on Motor""]",Chimney,LIVPURE
2981,Elega-60 Auto Clean Curved Glass 60 cm| 6 Years Motor Warranty|Heat Autoclean| Gesture Control...,6999,25990,73,1.0,0,0,"[""Suction Capacity: 1300 CMH"", ""Size: 60 cm"", ""1Year Comprehensive + 6Years on Motor""]",Chimney,LIVPURE
2982,Combo of Kitchen Chimney Net60 Net + 4 Burner Gas Cooktop Square Black Auto Clean Wall Mounted B...,12849,49999,74,4.4,5,1,"[""Suction Capacity: 1400 CMH"", ""Size: 60 cm"", ""5 Year Motor Warranty and 1 Year warranty other than breakage""]",Chimney,SURYA
2983,WD HAC TOUCH BF 60 MS Auto Clean Wall Mounted Black 1200 CMH Chimney,13999,24990,43,4.2,1912,330,"[""Suction Capacity: 1200 CMH"", ""Size: 55.5 cm"", ""5 Years Warranty on Motor and 2 Years Comprehensive Warranty.""]",Chimney,Elica
2984,VIVA 60 BLACK Wall Mounted Black 800 CMH Chimney,3299,9999,67,3.9,4102,474,"[""Suction Capacity: 800 CMH"", ""Size: 60 cm"", ""To avail warranty please register your product's warranty online by scanning the QR Code mentioned on the box. Please note the warranty will not be considered if not registered online.""]",Chimney,RUWA
2985,Elega-60 Auto Clean Curved Glass 60 cm| 6 Years Motor Warranty|Heat Autoclean| Gesture Control...,6999,25990,73,4.1,1134,164,"[""Suction Capacity: 1300 CMH"", ""Size: 60 cm"", ""1Year Comprehensive + 6Years on Motor""]",Chimney,LIVPURE
2986,Akeno 60cm Wall Mounted SIlver 880 CMH Chimney,6190,12990,52,4.0,369,57,"[""Suction Capacity: 880 CMH"", ""Size: 57 cm"", ""Limited Life time warranty""]",Chimney,Greenchef
2987,Hood Ace Pro HC PB BK 60 Auto Clean Wall Mounted Black 1100 CMH Chimney,10970,18990,42,4.3,1248,218,"[""Suction Capacity: 1100 CMH"", ""Size: 60 cm"", ""1 Year Comprehensive & 5 Years on Motor.""]",Chimney,FABER
2988,EFL 108 HAC LTW VMS 60 Auto Clean Wall Mounted Black 1350 CMH Chimney,22947,38990,41,4.2,149,36,"[""Suction Capacity: 1350 CMH"", ""Size: 60 cm"", ""Lifetime Warranty (15 Years) on Motor and 2 Years Comprehensive Warranty.""]",Chimney,Elica
2989,HOOD ZENITH FL SC AC BK 75 Auto Clean Wall Mounted BLACK 1350 CMH Chimney,26490,36990,28,4.2,911,186,"[""Suction Capacity: 1350 CMH"", ""Size: 75 cm"", ""5 Years on Motor + 1 Years Comprehensive""]",Chimney,FABER
2990,HOOD PLUTO PB BF BK 60 Pyramid Shape 60cm|3 Layer Baffle filter|Powerful suction |Low Noise Wall...,6110,19990,69,4.4,3733,821,"[""Suction Capacity: 1000 CMH"", ""Size: 60 cm"", ""1 year on product & 12 year on motor""]",Chimney,FABER
2991,Evana 90cm Filterless Technology Motion Sensor Auto Clean Wall Mounted Black 1300 CMH Chimney,11990,25990,53,4.1,279,49,"[""Suction Capacity: 1300 CMH"", ""Size: 90 cm"", ""Lifetime Warranty On Motor - 15 Years, 2-Year On Main PCB And Blower And 1-Year General-Warranty From The Date Of Purchase.""]",Chimney,Blowhot
2992,Hood Alpine FL HC BK 75 Auto Clean Semi Inclined| Touch & Gesture Control | Autoclean| Powerful ...,25990,38990,33,4.4,28,3,"[""Suction Capacity: 1500 CMH"", ""Size: 75 cm"", ""5 Years on Product & 12 Years on Motor""]",Chimney,FABER
2993,Power Elite Auto Clean Wall Mounted Black 1050 CMH Chimney,4599,10000,54,3.3,6,0,"[""Suction Capacity: 1050 CMH"", ""Size: 60 cm"", ""1 Year on Product, 7 Years on Motor""]",Chimney,WONDERCHEF
2994,GARNET FILTERLESS 60 Wall Mounted Black 800 CMH Chimney,3499,8999,61,3.9,378,36,"[""Suction Capacity: 800 CMH"", ""Size: 60 cm"", ""5 Years warranty on motor.1 year warranty on switch, blower and LED light. To avail warranty please register your product's warranty online by scanning the QR Code mentioned on the box. Please note the warranty will not be considered if not registered online.""]",Chimney,RUWA
2995,Evora-75 Auto Clean T-Shape 75 cm | 10 Years Motor Warranty| Heat Autoclean| Gesture Control|F...,8999,29990,69,4.1,2636,452,"[""Suction Capacity: 1350 CMH"", ""Size: 75 cm"", ""1 years comprehensive warranty & 10 years on Motor""]",Chimney,LIVPURE
2996,"CH6064AC60, Glass Filterless Chimney with Motion Sensor 1200 m3/h 60cm Auto Clean Wall Mounted BL...",11959,26995,55,3.9,16,1,"[""Suction Capacity: 1200 CMH"", ""Size: 60 cm"", ""1 year on product, 7 year on motor(Terms & Conditions applied)""]",Chimney,Glen
2997,COMBO-AVA-RLGS3 Wall Mounted Black 1350 CMH Chimney,6499,26998,75,3.0,18,3,"[""Suction Capacity: 1350 CMH"", ""Size: 90 cm"", ""7 years Motor Warranty and 1 year product warranty for all working parts.""]",Chimney,RUWA
2998,ZINNIA BLK 90 MaxX SILENCE CHIMNEY Touch Control with motion sensor and Lifetime Warranty# Au...,16299,38990,58,4.1,21,3,"[""Suction Capacity: 1350 CMH"", ""Size: 90 cm"", ""1 Year Comprehensive and 10 Years Warranty on Motor""]",Chimney,Hindware
2999,Net60 Auto Clean Wall Mounted Black 1400 CMH Chimney,9649,36999,73,4.3,35,6,"[""Suction Capacity: 1400 CMH"", ""Size: 60 cm"", ""5 Years for Complete motor and 1 Year for Kitchen Chimney""]",Chimney,SURYA
3000,HOOD SYDNEY IN HC SC FL 90 Auto Clean Curved Glass | Touch & Gesture Control | Autoclean| Powerf...,11990,24990,52,4.4,3706,766,"[""Suction Capacity: 1200 CMH"", ""Size: 90 cm"", ""2 years comprehensive warranty & 8 years on Motor""]",Chimney,FABER
3001,EMERALD-NEO-90-FL-HAC Auto Clean Wall Mounted Black 1400 CMH Chimney,12499,37990,67,4.1,19,2,"[""Suction Capacity: 1400 CMH"", ""Size: 90 cm"", ""2 Year Comprehensive + 10 Years on Motor""]",Chimney,LIVPURE
3002,ELENA AUTOCLEAN 90 1200CMH (YEAR 2023) Auto Clean Wall Mounted BLACK 1200 CMH Chimney,18800,25990,27,4.0,4,1,"[""Suction Capacity: 1200 CMH"", ""Size: 90 cm"", ""2 Year Comprehensive and 5 Years Warranty on Motor""]",Chimney,Hindware
3003,Chimney Miso BLK 60 LPG Stove 1030 Wall Mounted Black 1000 CMH Chimney,9299,24690,62,4.1,155,20,"[""Suction Capacity: 1000 CMH"", ""Size: 58 cm"", ""1 year comprehensive lifetime warranty on Motor""]",Chimney,Glen
3004,HOOD INDIGO IN HC SC FL BK 90 Auto Clean Curved Glass 90 cm|Filterless|Heat Autoclean| Touch ...,6999,19990,64,4.4,1228,246,"[""Suction Capacity: 1350 CMH"", ""Size: 90 cm"", ""1 Year Comprehensive Warranty on Product & 5 Years Warranty on Motor""]",Chimney,Eurodomo
3005,Hood Aspire IN HC SC FL BK 60 | Touch & Gesture Control | Autoclean | Filterless Auto Clean Slan...,9940,28990,65,4.0,155,32,"[""Suction Capacity: 1200 CMH"", ""Size: 60 cm"", ""2 year comprehensive warranty on product & 8 Year on Motor""]",Chimney,FABER
3006,SONET 60 Auto Clean Wall Mounted Black 1250 CMH Chimney,9490,20990,54,3.9,289,34,"[""Suction Capacity: 1250 CMH"", ""Size: 60 cm"", ""1 Year Warranty on Product and 9 Years warranty on motor from the date of purchase""]",Chimney,Kutchina
3007,CH6048JUBLK60BF Wall Mounted Black 1000 CMH Chimney,5998,11995,49,3.7,3,0,"[""Suction Capacity: 1000 CMH"", ""Size: 60 cm"", ""1 Year Warranty on Product, , 7 Years Warranty on Motor""]",Chimney,Glen
3008,HOOD MAPLE BLDC FL HC BK 60 Auto Clean Wall Mounted Black 1500 CMH Chimney,25990,42990,39,3.6,13,2,"[""Suction Capacity: 1500 CMH"", ""Size: 60 cm"", ""12Yrs on Motor,5Yrs Comprehensive Warranty by Faber""]",Chimney,FABER
3009,Smart Appliances Alexio Plus BLDC 60CM Auto Clean | Curved Glass | Filterless | Touch Control...,13699,38990,64,4.1,1508,179,"[""Suction Capacity: 1450 CMH"", ""Size: 60 cm"", ""12 Years on Motor and 3 Years on Product""]",Chimney,Hindware
3010,VIVA 60 BLACK Wall Mounted Black 800 CMH Chimney,3299,9999,67,3.9,4102,474,"[""Suction Capacity: 800 CMH"", ""Size: 60 cm"", ""To avail warranty please register your product's warranty online by scanning the QR Code mentioned on the box. Please note the warranty will not be considered if not registered online.""]",Chimney,RUWA
3011,Elega-60 Auto Clean Curved Glass 60 cm| 6 Years Motor Warranty|Heat Autoclean| Gesture Control...,6999,25990,73,4.1,1134,164,"[""Suction Capacity: 1300 CMH"", ""Size: 60 cm"", ""1Year Comprehensive + 6Years on Motor""]",Chimney,LIVPURE
3012,"LEXIA 60 1350 CMH Auto Clean Wall Mounted BLACK, BLACK GLASS 1350 CMH Chimney",19771,36990,46,4.6,19,4,"[""Suction Capacity: 1350 CMH"", ""Size: 60 cm"", ""1 Year Comprehensive and 10 Years Warranty on Motor""]",Chimney,Hindware
3013,"MARIS 60BKMAC 60 cm 1350 m³/hr Kitchen With Motion Sensor, Filter less Auto Clean Wall Mounted ...",10999,32000,65,3.0,5,0,"[""Suction Capacity: 1350 CMH"", ""Size: 60 cm"", ""2 Years on Product and 7 Years on Motor by the Brand Inalsa from the Date of Purchase""]",Chimney,Inalsa
3014,HOOD PLUTO PB BF BK 60 Pyramid Shape 60cm|3 Layer Baffle filter|Powerful suction |Low Noise Wall...,6110,19990,69,4.4,3733,821,"[""Suction Capacity: 1000 CMH"", ""Size: 60 cm"", ""1 year on product & 12 year on motor""]",Chimney,FABER
3015,Evana 90cm Filterless Technology Motion Sensor Auto Clean Wall Mounted Black 1300 CMH Chimney,11990,25990,53,4.1,279,49,"[""Suction Capacity: 1300 CMH"", ""Size: 90 cm"", ""Lifetime Warranty On Motor - 15 Years, 2-Year On Main PCB And Blower And 1-Year General-Warranty From The Date Of Purchase.""]",Chimney,Blowhot
3016,LIV-FERN-60-FL-BLDC-HAC Auto Clean Wall Mounted BLACK 1400 CMH Chimney,11399,35990,68,4.7,3,1,"[""Suction Capacity: 1400 CMH"", ""Size: 60 cm"", ""2 Year Comprehensive Warranty , 10 Years on Motor""]",Chimney,LIVPURE
3017,"Chimney Glanza 60 Black, Auto Clean, Gesture Control 1250 m3/h Auto Clean Wall Mounted BLACK ...",10198,25990,60,4.0,66,8,"[""Suction Capacity: 1250 CMH"", ""Size: 60 cm"", ""Warranty - 5 years on the motor, 1 year comprehensive from the date of purchase""]",Chimney,Sunflame
3018,HOOD EVEREST IN HC SC FL LG 60 Auto Clean Wall Mounted Light Grey 1200 CMH Chimney,10990,30990,64,4.5,79,18,"[""Suction Capacity: 1200 CMH"", ""Size: 60 cm"", ""12Yr Warranty on Motor (2Yr Comprehensive)""]",Chimney,FABER
3019,SS60-Voice Control Auto Clean Wall Mounted Black 1400 CMH Chimney,9788,36999,73,4.2,58,7,"[""Suction Capacity: 1400 CMH"", ""Size: 60 cm"", ""5 Years Main Motor Warranty and 1 Year Complete Chimney Warranty""]",Chimney,Maplin
3020,GARNET FILTERLESS 60 Wall Mounted Black 800 CMH Chimney,3499,8999,61,3.9,378,36,"[""Suction Capacity: 800 CMH"", ""Size: 60 cm"", ""5 Years warranty on motor.1 year warranty on switch, blower and LED light. To avail warranty please register your product's warranty online by scanning the QR Code mentioned on the box. Please note the warranty will not be considered if not registered online.""]",Chimney,RUWA
3021,Evora-75 Auto Clean T-Shape 75 cm | 10 Years Motor Warranty| Heat Autoclean| Gesture Control|F...,8999,29990,69,4.1,2636,452,"[""Suction Capacity: 1350 CMH"", ""Size: 75 cm"", ""1 years comprehensive warranty & 10 years on Motor""]",Chimney,LIVPURE
3022,Skyla 60cm Auto Clean Wall Mounted Black 1350 CMH Chimney,13629,36990,63,4.2,15,1,"[""Suction Capacity: 1350 CMH"", ""Size: 60 cm"", ""1 Year Comprehensive and 10 Years Warranty on Motor""]",Chimney,Hindware
3023,MARCELLA 75 | Filterless Technology | MaxX Suction 1700 m³/hr* | BLDC Motor | Auto Clean Wall...,23000,46990,51,4.8,9,0,"[""Suction Capacity: 1700 CMH"", ""Size: 75 cm"", ""1 Year Comprehensive Warranty and Lifetime Warranty on Motor""]",Chimney,Hindware
3024,HOOD SYDNEY IN HC SC FL 90 Auto Clean Curved Glass | Touch & Gesture Control | Autoclean| Powerf...,11990,24990,52,4.4,3706,766,"[""Suction Capacity: 1200 CMH"", ""Size: 90 cm"", ""2 years comprehensive warranty & 8 years on Motor""]",Chimney,FABER
3025,EMERALD-NEO-90-FL-HAC Auto Clean Wall Mounted Black 1400 CMH Chimney,12499,37990,67,4.1,19,2,"[""Suction Capacity: 1400 CMH"", ""Size: 90 cm"", ""2 Year Comprehensive + 10 Years on Motor""]",Chimney,LIVPURE
3026,Auto Prime 60 SS Motion Sensor Auto Clean Wall Mounted Black 1200 CMH Chimney,11990,23980,50,4.0,4,2,"[""Suction Capacity: 1200 CMH"", ""Size: 60 cm"", ""Lifetime warranty on Motor and 1 Year Comprehensive Warranty on Product""]",Chimney,Ventair
3027,Sabina Neo BLK 60 Wall Mounted Black 1100 CMH/ m3/h Chimney,11534,18990,39,4.2,6922,895,"[""Suction Capacity: 1100 CMH/ m3/h"", ""Size: 60 cm"", ""2 years comprehensive; 5 years on Motor (AC)""]",Chimney,Hindware
3028,60 Cm Filterless Heat Auto Clean Curved Glass Hood Evana S BAC MS Chimney Auto Clean Wall Moun...,10990,23990,54,4.1,279,49,"[""Suction Capacity: 1300 CMH"", ""Size: 60 cm"", ""Lifetime Warranty On Motor - 15 Years, 2-Year On Main PCB And Blower And 1-Year General-Warranty From The Date Of Purchase.""]",Chimney,Blowhot
3029,CROME 60 Auto Clean Wall Mounted Black 1350 CMH Chimney,10390,25990,60,4.0,330,23,"[""Suction Capacity: 1350 CMH"", ""Size: 60 cm"", ""1 Year Warranty on Product and 9 Years warranty on motor from the date of purchase""]",Chimney,Kutchina
3030,VIVA 60 BLACK Wall Mounted Black 800 CMH Chimney,3299,9999,67,3.9,4102,474,"[""Suction Capacity: 800 CMH"", ""Size: 60 cm"", ""To avail warranty please register your product's warranty online by scanning the QR Code mentioned on the box. Please note the warranty will not be considered if not registered online.""]",Chimney,RUWA
3031,Elega-60 Auto Clean Curved Glass 60 cm| 6 Years Motor Warranty|Heat Autoclean| Gesture Control...,6999,25990,73,4.1,1134,164,"[""Suction Capacity: 1300 CMH"", ""Size: 60 cm"", ""1Year Comprehensive + 6Years on Motor""]",Chimney,LIVPURE
3032,Flashy 90 Auto Clean Wall Mounted Black 1250 CMH Chimney,12490,28990,56,4.2,25,1,"[""Suction Capacity: 1250 CMH"", ""Size: 90 cm"", ""5 year warranty on product & Life time warranty on motor""]",Chimney,Kutchina
3033,DIVINA 60CM WITH MOTION SENSOR ( LAUNCH YEAR 2022 ) Auto Clean Wall Mounted BLACK 1200 CMH Ch...,12748,24990,48,4.4,3733,821,"[""Suction Capacity: 1200 CMH"", ""Size: 60 cm"", ""2 Year Comprehensive and 5 Years Warranty on Motor""]",Chimney,Hindware
3034,HOOD PLUTO PB BF BK 60 Pyramid Shape 60cm|3 Layer Baffle filter|Powerful suction |Low Noise Wall...,6110,19990,69,4.1,279,49,"[""Suction Capacity: 1000 CMH"", ""Size: 60 cm"", ""1 year on product & 12 year on motor""]",Chimney,FABER
3035,Evana 90cm Filterless Technology Motion Sensor Auto Clean Wall Mounted Black 1300 CMH Chimney,11990,25990,53,4.7,12,2,"[""Suction Capacity: 1300 CMH"", ""Size: 90 cm"", ""Lifetime Warranty On Motor - 15 Years, 2-Year On Main PCB And Blower And 1-Year General-Warranty From The Date Of Purchase.""]",Chimney,Blowhot
3036,HOOD COSMOS 3D HC SC BK BF 90 Auto Clean Wall Mounted Black 1400 CMH Chimney,20420,36990,44,3.9,19,1,"[""Suction Capacity: 1400 CMH"", ""Size: 90 cm"", ""Domestic""]",Chimney,FABER
3037,Nevio Plus 90 Black Auto Clean Wall Mounted Black 1300 CMH Chimney,11529,26990,57,4.4,26,12,"[""Suction Capacity: 1300 CMH"", ""Size: 90 cm"", ""2 Years Comprehensive & 10 Years On Motor""]",Chimney,Hindware
3038,Platina 90 Motion Sensor Auto Clean Wall Mounted Black 1550 CMH Chimney,10290,29990,65,4.0,21,3,"[""Suction Capacity: 1550 CMH"", ""Size: 90 cm"", ""2 Years Comprehensive Warranty On Product and 10 Years Warranty on Motor""]",Chimney,Uplift
3039,CELESIA BLK 90 IN | Filterless | High Airflow | 3 Speed Gesture Control | Auto Clean Wall Mou...,17028,33990,49,3.9,378,36,"[""Suction Capacity: 1500 CMH"", ""Size: 90 cm"", ""2-year Comprehensive Warranty & 10 Years Warranty on Motor""]",Chimney,Hindware
3040,GARNET FILTERLESS 60 Wall Mounted Black 800 CMH Chimney,3499,8999,61,4.1,2636,452,"[""Suction Capacity: 800 CMH"", ""Size: 60 cm"", ""5 Years warranty on motor.1 year warranty on switch, blower and LED light. To avail warranty please register your product's warranty online by scanning the QR Code mentioned on the box. Please note the warranty will not be considered if not registered online.""]",Chimney,RUWA
3041,Evora-75 Auto Clean T-Shape 75 cm | 10 Years Motor Warranty| Heat Autoclean| Gesture Control|F...,8999,29990,69,3.8,56,5,"[""Suction Capacity: 1350 CMH"", ""Size: 75 cm"", ""1 years comprehensive warranty & 10 years on Motor""]",Chimney,LIVPURE
3042,Magnus 60 CM Filterless Auto Clean Wall Mounted BLACK 1250 CMH Chimney,8347,24490,65,4.0,289,30,"[""Suction Capacity: 1250 CMH"", ""Size: 60 cm"", ""ONE YEAR FOR COMPLETE PRODUCT, 4 YEAR MOTOR WARRANTY""]",Chimney,AMBBER
3043,"CH6050 Kitchen Chimney, Pyramid Shape SS Baffle filters 60cm 1100 m³/h Wall Mounted BLACK 1100 CM...",6499,12595,48,4.4,3706,766,"[""Suction Capacity: 1100 CMH"", ""Size: 60 cm"", ""1 Year Warranty on Product, , 7 Years Warranty on Motor""]",Chimney,Glen
3044,"EcoFlow 60cm Pyramid Kitchen chimney, 1150 CMH, Baffle Filter, 130W Copper Motor Wall Mounted...",3999,10990,63,4.1,140,23,"[""Suction Capacity: 1150 CMH"", ""Size: 60 cm"", ""1 Year Warranty on Product and 5 Years Warranty on Motor Installation & Demo Please contact for Installation within 24-48hrs of purchase. Installation will be done within 72hrs. Warranty is only applicable after registration with Amplesta. For Installation, warranty and after sales services, please contact on Toll Free : 1800-891-1312(All India), Whatsapp number : 85650-94444 or write us on customercare@amplesta.com. Call Service between 9:30 am to 6:30 pm. For installation, standard charges @Rs 650 will be applicable.""]",Chimney,Amplesta
3045,HOOD SYDNEY IN HC SC FL 90 Auto Clean Curved Glass | Touch & Gesture Control | Autoclean| Powerf...,11990,24990,52,4.0,898,101,"[""Suction Capacity: 1200 CMH"", ""Size: 90 cm"", ""2 years comprehensive warranty & 8 years on Motor""]",Chimney,FABER
3046,Smart Appliances Octavia 60 Auto Clean Wall Mounted Black and Inox 1350 CMH Chimney,11799,38990,69,4.3,10,4,"[""Suction Capacity: 1350 CMH"", ""Size: 60 cm"", ""10 Years on Motor and 2 Years on Product""]",Chimney,Hindware
3047,META 60 CM Wall Mounted STEEL 925 m³/h Chimney,8327,10490,20,4.2,58,7,"[""Suction Capacity: 925 m\u00b3/h"", ""Size: 60 cm"", ""5 years on motor and 1 year comprehensive""]",Chimney,Kaff
3048,Melody 90 Musical Smart Auto Clean Wall Mounted Black 1550 CMH Chimney,18899,33990,44,4.1,19,2,"[""Suction Capacity: 1550 CMH"", ""Size: 90 cm"", ""Lifetime warranty on Motor and 1 Year Compensive Warranty on Productreh""]",Chimney,Ventair
3049,SS60-Voice Control Auto Clean Wall Mounted Black 1400 CMH Chimney,9788,36999,73,4.4,6143,1548,"[""Suction Capacity: 1400 CMH"", ""Size: 60 cm"", ""5 Years Main Motor Warranty and 1 Year Complete Chimney Warranty""]",Chimney,Maplin
3050,EMERALD-NEO-90-FL-HAC Auto Clean Wall Mounted Black 1400 CMH Chimney,12499,37990,67,4.3,295,73,"[""Suction Capacity: 1400 CMH"", ""Size: 90 cm"", ""2 Year Comprehensive + 10 Years on Motor""]",Chimney,LIVPURE
3051,WDFL 606 HAC LTW MS NERO Auto Clean Curved Glass 60 cm| 15 Years Motor Warranty|Heat Autoclean| ...,12999,23990,45,4.0,52,3,"[""Suction Capacity: 1350 CMH"", ""Size: 60 cm"", ""15 years on Motor & 2 years comprehensive warranty from Date of Purchase""]",Chimney,Elica
3052,HOOD IRIS BLDC FL HC BK 75 Auto Clean Wall Mounted BLACK 1500 CMH Chimney,20348,31990,36,4.1,0,0,"[""Suction Capacity: 1500 CMH"", ""Size: 75 cm"", ""2 Year comprehensive warranty on product & 12 years on Motor""]",Chimney,FABER
3053,Oscar 900 Auto Clean Wall Mounted Black 1000 CMH Chimney,15990,32145,50,4.0,0,0,"[""Suction Capacity: 1000 CMH"", ""Size: 56 cm"", ""1 Year Manufacturer Warranty""]",Chimney,Prestige
3054,VIVA 60 BLACK Wall Mounted Black 800 CMH Chimney,3299,9999,67,3.9,4102,474,"[""Suction Capacity: 800 CMH"", ""Size: 60 cm"", ""To avail warranty please register your product's warranty online by scanning the QR Code mentioned on the box. Please note the warranty will not be considered if not registered online.""]",Chimney,RUWA
3055,LIV-IVY-60-FL-HAC Auto Clean Wall Mounted BLACK 1350 CMH Chimney,11499,37990,69,3.0,4,1,"[""Suction Capacity: 1350 CMH"", ""Size: 60 cm"", ""2 years comprehensive warranty & 10 years on Motor""]",Chimney,LIVPURE
3056,Smart Appliances Ripple 90 Auto Clean Wall Mounted Inox 1350 CMH Chimney,29613,30990,4,4.2,4155,438,"[""Suction Capacity: 1350 CMH"", ""Size: 90 cm"", ""10 Years on Motor and 2 Years on Product""]",Chimney,Hindware
3057,Hood Indigo PRO HC SC FL BK 60 Auto Clean Wall Mounted Black 1200 CMH Chimney,8000,25000,68,4.4,1228,246,"[""Suction Capacity: 1200 CMH"", ""Size: 60 cm"", ""1 Year Product Warranty""]",Chimney,Eurodomo
3058,Elena 90cm Auto Clean Wall Mounted Black 1100 CMH Chimney,9159,23990,61,3.9,49,3,"[""Suction Capacity: 1100 CMH"", ""Size: 90 cm"", ""5 Years on Motor and 1 Year on Product""]",Chimney,Hindware
3059,Slimline Wall Mounted Black 550 CMH Chimney,8250,14995,44,4.6,9,0,"[""Suction Capacity: 550 CMH"", ""Size: 67.5 cm"", ""2 Years Warranty""]",Chimney,Prestige
3060,HOOD SAPPHIRE PB BF BK 60 Pyramid Shape 60 cm| 3 Layer Baffle Filter|Powerful suction | 5 Yea...,4499,11990,62,4.0,181,28,"[""Suction Capacity: 1000 CMH"", ""Size: 60 cm"", ""1 Year Comprehensive Warranty on Product & 5 Years Warranty on Motor""]",Chimney,Eurodomo
3061,HOOD PLUTO PB BF BK 60 Pyramid Shape 60cm|3 Layer Baffle filter|Powerful suction |Low Noise Wall...,6110,19990,69,4.4,3733,821,"[""Suction Capacity: 1000 CMH"", ""Size: 60 cm"", ""1 year on product & 12 year on motor""]",Chimney,FABER
3062,HOOD ORIENT SMART 3D IND HC SC EBK 60 Auto Clean Wall Mounted Black 1250 CMH Chimney,12999,28990,55,4.4,165,39,"[""Suction Capacity: 1250 CMH"", ""Size: 60 cm"", ""1 Year Product Warranty""]",Chimney,FABER
3063,Conico SS 60 Wall Mounted Stainless Steel 800 CMH Chimney,5999,15590,61,4.0,62,14,"[""Suction Capacity: 800 CMH"", ""Size: 60 cm"", ""1 Year Product Warranty, 5 year on motor""]",Chimney,FABER
3064,ISPA 60 cm BL filterless Auto Clean Curved Glass 60 cm|Touch & Gesture Control| Autoclean| Filter...,8999,19995,54,4.2,4938,431,"[""Suction Capacity: 1050 CMH"", ""Size: 60 cm"", ""1 Year Warranty on Product, , 7 Years Warranty on Motor""]",Chimney,Glen
3065,LIV-IVY-90-FL-HAC Auto Clean Wall Mounted BLACK 1350 CMH Chimney,12499,43990,71,3.0,4,1,"[""Suction Capacity: 1350 CMH"", ""Size: 90 cm"", ""2 years comprehensive warranty & 10 years on Motor""]",Chimney,LIVPURE
3066,CRV 60 Plus Auto Clean Wall Mounted Black 1400 CMH Chimney,13599,28290,51,4.5,42,6,"[""Suction Capacity: 1400 CMH"", ""Size: 60 cm"", ""1 Year Warranty on Product and 10 Years on Motor""]",Chimney,Hafele
3067,SLENDER 60 Auto Clean Wall Mounted Black 1450 CMH Chimney,12790,29990,57,4.0,109,7,"[""Suction Capacity: 1450 CMH"", ""Size: 60 cm"", ""1 Year Warranty on Product and 9 Years warranty on motor from the date of purchase""]",Chimney,Kutchina
3068,DIVINA NEO 60CM WITH MOTION SENSOR ( LAUNCH YEAR 2024 ) Auto Clean Wall Mounted BLACK 1200 CM...,12739,25990,50,4.1,32,9,"[""Suction Capacity: 1200 CMH"", ""Size: 60 cm"", ""2 Year Comprehensive and 5 Years Warranty on Motor""]",Chimney,Hindware
3069,RAYLENE 60 | Filterless Technology | MaxX Suction 1700 m³/hr* | BLDC Motor | Auto Clean Wall ...,23490,40990,42,4.4,6143,1548,"[""Suction Capacity: 1700 CMH"", ""Size: 60 cm"", ""1 Year Comprehensive Warranty and Lifetime Warranty on Motor""]",Chimney,Hindware
3070,WDFL 606 HAC LTW MS NERO Auto Clean Curved Glass 60 cm| 15 Years Motor Warranty|Heat Autoclean| ...,12999,23990,45,3.9,378,36,"[""Suction Capacity: 1350 CMH"", ""Size: 60 cm"", ""15 years on Motor & 2 years comprehensive warranty from Date of Purchase""]",Chimney,Elica
3071,GARNET FILTERLESS 60 Wall Mounted Black 800 CMH Chimney,3499,8999,61,3.2,6,0,"[""Suction Capacity: 800 CMH"", ""Size: 60 cm"", ""5 Years warranty on motor.1 year warranty on switch, blower and LED light. To avail warranty please register your product's warranty online by scanning the QR Code mentioned on the box. Please note the warranty will not be considered if not registered online.""]",Chimney,RUWA
